height,class
69,pstat120c
66,pstat120c
65,pstat120c
69,pstat120c
69,pstat120c
63,pstat120c
67,pstat120c
65,pstat120c
70,pstat120c
66,pstat120c
63,pstat120c
63,pstat120c
65,pstat120c
65,pstat120c
66,pstat120c
70,pstat120c
56,pstat120c
67,pstat120c
74,pstat120c
74,pstat120c
71,pstat120c
72,pstat120c
65,pstat120c
67,pstat120c
70,pstat120c
72,pstat120c
65,pstat120c
69,pstat120c
68,pstat120c
74,pstat120c
63,pstat120c
69,pstat120c
67,pstat120c
72,pstat120c
67,pstat120c
67,pstat120c
66,pstat120c
73,pstat120c
64,pstat120c
70,pstat120c
67,pstat120c
62,pstat120c
71,pstat120c
68,pstat120c
66,pstat120c
69,pstat120c
69,pstat120c
69,pstat120c
70,pstat120c
57,pstat120c
68,pstat120c
72,stat544spring2014
69,stat544spring2014
69,stat544spring2014
63,stat544spring2014
63,stat544spring2014
70,stat544spring2014
66,stat544spring2014
71,stat544spring2014
72,stat544spring2014
67.5,stat544spring2014
69,stat544spring2014
68,stat544spring2014
67,stat544spring2014
70,stat544spring2014
67.72,stat544spring2015
70,stat544spring2015
64,stat544spring2015
76,stat544spring2015
68,stat544spring2015
71,stat544spring2015
67,stat544spring2015
69,stat544spring2015
65,stat544spring2015
61,stat544spring2015
70,stat544spring2015
73,stat544spring2015
70,stat544spring2015
74.8,stat544spring2015
66,stat544spring2015
70,stat544spring2016
65,stat544spring2016
68,stat544spring2016
70,stat544spring2016
63,stat544spring2016
62,stat544spring2016
69,stat544spring2016
67,stat544spring2016
63,stat544spring2016
66,stat544spring2016
74,stat544spring2016
62,stat544spring2016
64,stat544spring2016
66,stat544spring2016
60,stat544spring2016
63,stat544spring2016
66.9291,stat544spring2016
64.1732,stat544spring2016
62.9921,stat544spring2016
72,stat544spring2017
68,stat544spring2017
63,stat544spring2017
61,stat544spring2017
69,stat544spring2017
75,stat544spring2017
73,stat544spring2017
70,stat544spring2017
64,stat544spring2017
61,stat544spring2017
68,stat544spring2017
70,stat544spring2017
73,stat544spring2017
73,stat544spring2017
66,stat544spring2017
70,stat544spring2017
71,stat544spring2017
67,stat544spring2017
68,stat401Engspring2017
69,stat401Engspring2017
67,stat401Engspring2017
67,stat401Engspring2017
70,stat401Engspring2017
67,stat401Engspring2017
63,stat401Engspring2017
62,stat401Engspring2017
72,stat401Engspring2017
70,stat401Engspring2017
67,stat401Engspring2017
68,stat401Engspring2017
71,stat401Engspring2017
70,stat401Engspring2017
62,stat401Engspring2017
73,stat401Engspring2017
67,stat401Engspring2017
67,stat401Engspring2017
65,stat401Engspring2017
68,stat401Engspring2017
60,stat401Engspring2017
64,stat401Engspring2017
70,stat401Engspring2017
71,stat401Engspring2017
70,stat401Engspring2017
68,stat401Engspring2017
70,stat544spring2018
67,stat544spring2018
67,stat544spring2018
64,stat544spring2018
68,stat544spring2018
68,stat544spring2018
70,stat544spring2018
65,stat544spring2018
64,stat544spring2018
71,stat544spring2018
62,stat544spring2018
64,stat544spring2018
69,stat544spring2018
70,stat544spring2018
66,stat544spring2019
70,stat544spring2019
74,stat544spring2019
63,stat544spring2019
64,stat544spring2019
63,stat544spring2019
72,stat544spring2019
65,stat544spring2019
71,stat544spring2019
64,stat544spring2019
68,stat544spring2019
67,stat544spring2019
64,stat544spring2019
64,stat544spring2019
67,stat544spring2019
71,stat544spring2019
68,stat544spring2019
68,stat544spring2019
72,stat544spring2019
